,precision,recall,f1-score,support
angry,0.3772455089820359,0.1315240083507307,0.19504643962848298,958.0
disgust,0.0,0.0,0.0,111.0
fear,0.34474327628361856,0.1376953125,0.19678995115143055,1024.0
happy,0.4889047959914102,0.770011273957159,0.5980735551663748,1774.0
neutral,0.45732349841938885,0.3519870235198702,0.39780018331805683,1233.0
sad,0.3420905533817775,0.4907778668805132,0.4031620553359684,1247.0
surprise,0.583610188261351,0.6341756919374247,0.6078431372549019,831.0
accuracy,0.44664251880746725,0.44664251880746725,0.44664251880746725,0.44664251880746725
macro avg,0.3705596887599403,0.35945302530652823,0.34267361740788793,7178.0
weighted avg,0.42591004188789955,0.44664251880746725,0.41065731988050164,7178.0
